id,text
16,"Explanations of time series models are useful for high stakes applications
like healthcare but have received little attention in machine learning
literature. We propose FIT, a framework that evaluates the importance of
observations for a multivariate time-series black-box model by quantifying the
shift in the predictive distribution over time. FIT defines the importance of
an observation based on its contribution to the distributional shift under a
KL-divergence that contrasts the predictive distribution against a
counterfactual where the rest of the features are unobserved. We also
demonstrate the need to control for time-dependent distribution shifts. We
compare with state-of-the-art baselines on simulated and real-world clinical
data and demonstrate that our approach is superior in identifying important
time points and observations throughout the time series."
17,"Machine unlearning (MU) aims to eliminate information that has been learned
from specific training data, namely forgetting data, from a pre-trained model.
Currently, the mainstream of existing MU methods involves modifying the
forgetting data with incorrect labels and subsequently fine-tuning the model.
While learning such incorrect information can indeed remove knowledge, the
process is quite unnatural as the unlearning process undesirably reinforces the
incorrect information and leads to over-forgetting. Towards more
\textit{natural} machine unlearning, we inject correct information from the
remaining data to the forgetting samples when changing their labels. Through
pairing these adjusted samples with their labels, the model will tend to use
the injected correct information and naturally suppress the information meant
to be forgotten. Albeit straightforward, such a first step towards natural
machine unlearning can significantly outperform current state-of-the-art
approaches. In particular, our method substantially reduces the over-forgetting
and leads to strong robustness to hyperparameters, making it a promising
candidate for practical machine unlearning."
18,"Density ratio estimation (DRE) is a fundamental machine learning technique
for identifying relationships between two probability distributions.
$f$-divergence loss functions, derived from variational representations of
$f$-divergence, are commonly employed in DRE to achieve state-of-the-art
results. This study presents a novel perspective on DRE using $f$-divergence
loss functions by deriving the upper and lower bounds on $L_p$ errors. These
bounds apply to any estimator within a class of Lipschitz continuous
estimators, irrespective of the specific $f$-divergence loss functions
utilized. The bounds are formulated as a product of terms that include the data
dimension and the expected value of the density ratio raised to the power of
$p$. Notably, the lower bound incorporates an exponential term dependent on the
Kullback--Leibler divergence, indicating that the $L_p$ error significantly
increases with the Kullback--Leibler divergence for $p > 1$, and this increase
becomes more pronounced as $p$ increases. Furthermore, these theoretical
findings are substantiated through numerical experiments."
19,"We propose a self-supervised framework that learns to group visual entities
based on their rate of co-occurrence in space and time. To model statistical
dependencies between the entities, we set up a simple binary classification
problem in which the goal is to predict if two visual primitives occur in the
same spatial or temporal context. We apply this framework to three domains:
learning patch affinities from spatial adjacency in images, learning frame
affinities from temporal adjacency in videos, and learning photo affinities
from geospatial proximity in image collections. We demonstrate that in each
case the learned affinities uncover meaningful semantic groupings. From patch
affinities we generate object proposals that are competitive with
state-of-the-art supervised methods. From frame affinities we generate movie
scene segmentations that correlate well with DVD chapter structure. Finally,
from geospatial affinities we learn groups that relate well to semantic place
categories."
20,"In this paper, we introduce a novel approach for diagnosis of Parkinson's
Disease (PD) based on deep Echo State Networks (ESNs). The identification of PD
is performed by analyzing the whole time-series collected from a tablet device
during the sketching of spiral tests, without the need for feature extraction
and data preprocessing. We evaluated the proposed approach on a public dataset
of spiral tests. The results of experimental analysis show that DeepESNs
perform significantly better than shallow ESN model. Overall, the proposed
approach obtains state-of-the-art results in the identification of PD on this
kind of temporal data."
21,"Feature attribution methods, which explain an individual prediction made by a
model as a sum of attributions for each input feature, are an essential tool
for understanding the behavior of complex deep learning models. However,
ensuring that models produce meaningful explanations, rather than ones that
rely on noise, is not straightforward. Exacerbating this problem is the fact
that attribution methods do not provide insight as to why features are assigned
their attribution values, leading to explanations that are difficult to
interpret. In real-world problems we often have sets of additional information
for each feature that are predictive of that feature's importance to the task
at hand. Here, we propose the deep attribution prior (DAPr) framework to
exploit such information to overcome the limitations of attribution methods.
Our framework jointly learns a relationship between prior information and
feature importance, as well as biases models to have explanations that rely on
features predicted to be important. We find that our framework both results in
networks that generalize better to out of sample data and admits new methods
for interpreting model behavior."
22,"In many naturally occurring optimization problems one needs to ensure that
the definition of the optimization problem lends itself to solutions that are
tractable to compute. In cases where exact solutions cannot be computed
tractably, it is beneficial to have strong guarantees on the tractable
approximate solutions. In order operate under these criterion most optimization
problems are cast under the umbrella of convexity or submodularity. In this
report we will study design and optimization over a common class of functions
called submodular functions. Set functions, and specifically submodular set
functions, characterize a wide variety of naturally occurring optimization
problems, and the property of submodularity of set functions has deep
theoretical consequences with wide ranging applications. Informally, the
property of submodularity of set functions concerns the intuitive ""principle of
diminishing returns. This property states that adding an element to a smaller
set has more value than adding it to a larger set. Common examples of
submodular monotone functions are entropies, concave functions of cardinality,
and matroid rank functions; non-monotone examples include graph cuts, network
flows, and mutual information.
  In this paper we will review the formal definition of submodularity; the
optimization of submodular functions, both maximization and minimization; and
finally discuss some applications in relation to learning and reasoning using
submodular functions."
23,"Neural networks with binary weights are computation-efficient and
hardware-friendly, but their training is challenging because it involves a
discrete optimization problem. Surprisingly, ignoring the discrete nature of
the problem and using gradient-based methods, such as the Straight-Through
Estimator, still works well in practice. This raises the question: are there
principled approaches which justify such methods? In this paper, we propose
such an approach using the Bayesian learning rule. The rule, when applied to
estimate a Bernoulli distribution over the binary weights, results in an
algorithm which justifies some of the algorithmic choices made by the previous
approaches. The algorithm not only obtains state-of-the-art performance, but
also enables uncertainty estimation for continual learning to avoid
catastrophic forgetting. Our work provides a principled approach for training
binary neural networks which justifies and extends existing approaches."
24,"We consider the bandit problem of selecting $K$ out of $N$ arms at each time
step. The reward can be a non-linear function of the rewards of the selected
individual arms. The direct use of a multi-armed bandit algorithm requires
choosing among $\binom{N}{K}$ options, making the action space large. To
simplify the problem, existing works on combinatorial bandits {typically}
assume feedback as a linear function of individual rewards. In this paper, we
prove the lower bound for top-$K$ subset selection with bandit feedback with
possibly correlated rewards. We present a novel algorithm for the combinatorial
setting without using individual arm feedback or requiring linearity of the
reward function. Additionally, our algorithm works on correlated rewards of
individual arms. Our algorithm, aDaptive Accept RejecT (DART), sequentially
finds good arms and eliminates bad arms based on confidence bounds. DART is
computationally efficient and uses storage linear in $N$. Further, DART
achieves a regret bound of $\tilde{\mathcal{O}}(K\sqrt{KNT})$ for a time
horizon $T$, which matches the lower bound in bandit feedback up to a factor of
$\sqrt{\log{2NT}}$. When applied to the problem of cross-selling optimization
and maximizing the mean of individual rewards, the performance of the proposed
algorithm surpasses that of state-of-the-art algorithms. We also show that DART
significantly outperforms existing methods for both linear and non-linear joint
reward environments."
25,"Gaussian processes (GPs) are non-parametric, flexible, models that work well
in many tasks. Combining GPs with deep learning methods via deep kernel
learning (DKL) is especially compelling due to the strong representational
power induced by the network. However, inference in GPs, whether with or
without DKL, can be computationally challenging on large datasets. Here, we
propose GP-Tree, a novel method for multi-class classification with Gaussian
processes and DKL. We develop a tree-based hierarchical model in which each
internal node of the tree fits a GP to the data using the P\'olya Gamma
augmentation scheme. As a result, our method scales well with both the number
of classes and data size. We demonstrate the effectiveness of our method
against other Gaussian process training baselines, and we show how our general
GP approach achieves improved accuracy on standard incremental few-shot
learning benchmarks."
26,"In a business-to-business (B2B) customer relationship management (CRM) use
case, each client is a potential business organization/company with a solid
business strategy and focused and rational decisions. This paper introduces a
graph-based analytics approach to improve CRM within a B2B environment. In our
approach, in the first instance, we have designed a graph database using the
Neo4j platform. Secondly, the graph database has been investigated by using
data mining and exploratory analysis coupled with cypher graph query language.
Specifically, we have applied the graph convolution network (GCN) to enable CRM
analytics to forecast sales. This is the first step towards a GCN-based binary
classification based on graph databases in the domain of B2B CRM. We evaluate
the performance of the proposed GCN model on graph databases and compare it
with Random Forest (RF), Convolutional Neural Network (CNN), and Artificial
Neural Network (ANN). The proposed GCN approach is further augmented with the
shortest path and eigenvector centrality attribute to significantly improve the
accuracy of sales prediction. Experimental results reveal that the proposed
graph-based deep learning approach outperforms the Random Forests (RsF) and two
deep learning models, i.e., CNN and ANN under different combinations of graph
features."
27,"Multi-armed bandits (MAB) are extensively studied in various settings where
the objective is to \textit{maximize} the actions' outcomes (i.e., rewards)
over time. Since safety is crucial in many real-world problems, safe versions
of MAB algorithms have also garnered considerable interest. In this work, we
tackle a different critical task through the lens of \textit{linear stochastic
bandits}, where the aim is to keep the actions' outcomes close to a target
level while respecting a \textit{two-sided} safety constraint, which we call
\textit{leveling}. Such a task is prevalent in numerous domains. Many
healthcare problems, for instance, require keeping a physiological variable in
a range and preferably close to a target level. The radical change in our
objective necessitates a new acquisition strategy, which is at the heart of a
MAB algorithm. We propose SALE-LTS: Safe Leveling via Linear Thompson Sampling
algorithm, with a novel acquisition strategy to accommodate our task and show
that it achieves sublinear regret with the same time and dimension dependence
as previous works on the classical reward maximization problem absent any
safety constraint. We demonstrate and discuss our algorithm's empirical
performance in detail via thorough experiments."
28,"Deep neural networks (DNNs) have been emerged as the state-of-the-art
algorithms in broad range of applications. To reduce the memory foot-print of
DNNs, in particular for embedded applications, sparsification techniques have
been proposed. Unfortunately, these techniques come with a large hardware
overhead. In this paper, we present a hardware-aware pruning method where the
locations of non-zero weights are derived in real-time from a Linear Feedback
Shift Registers (LFSRs). Using the proposed method, we demonstrate a total
saving of energy and area up to 63.96% and 64.23% for VGG-16 network on
down-sampled ImageNet, respectively for iso-compression-rate and iso-accuracy."
29,"This paper studies a new variant of the stochastic multi-armed bandits
problem where auxiliary information about the arm rewards is available in the
form of control variates. In many applications like queuing and wireless
networks, the arm rewards are functions of some exogenous variables. The mean
values of these variables are known a priori from historical data and can be
used as control variates. Leveraging the theory of control variates, we obtain
mean estimates with smaller variance and tighter confidence bounds. We develop
an upper confidence bound based algorithm named UCB-CV and characterize the
regret bounds in terms of the correlation between rewards and control variates
when they follow a multivariate normal distribution. We also extend UCB-CV to
other distributions using resampling methods like Jackknifing and Splitting.
Experiments on synthetic problem instances validate performance guarantees of
the proposed algorithms."
30,"Deep neural networks often suffer from overconfidence which can be partly
remedied by improved out-of-distribution detection. For this purpose, we
propose a novel approach that allows for the generation of out-of-distribution
datasets based on a given in-distribution dataset. This new dataset can then be
used to improve out-of-distribution detection for the given dataset and machine
learning task at hand. The samples in this dataset are with respect to the
feature space close to the in-distribution dataset and therefore realistic and
plausible. Hence, this dataset can also be used to safeguard neural networks,
i.e., to validate the generalization performance. Our approach first generates
suitable representations of an in-distribution dataset using an autoencoder and
then transforms them using our novel proposed Soft Brownian Offset method.
After transformation, the decoder part of the autoencoder allows for the
generation of these implicit out-of-distribution samples. This newly generated
dataset then allows for mixing with other datasets and thus improved training
of an out-of-distribution classifier, increasing its performance.
Experimentally, we show that our approach is promising for time series using
synthetic data. Using our new method, we also show in a quantitative case study
that we can improve the out-of-distribution detection for the MNIST dataset.
Finally, we provide another case study on the synthetic generation of
out-of-distribution trajectories, which can be used to validate trajectory
prediction algorithms for automated driving."
31,"Deep neural networks trained on a wide range of datasets demonstrate
impressive transferability. Deep features appear general in that they are
applicable to many datasets and tasks. Such property is in prevalent use in
real-world applications. A neural network pretrained on large datasets, such as
ImageNet, can significantly boost generalization and accelerate training if
fine-tuned to a smaller target dataset. Despite its pervasiveness, few effort
has been devoted to uncovering the reason of transferability in deep feature
representations. This paper tries to understand transferability from the
perspectives of improved generalization, optimization and the feasibility of
transferability. We demonstrate that 1) Transferred models tend to find flatter
minima, since their weight matrices stay close to the original flat region of
pretrained parameters when transferred to a similar target dataset; 2)
Transferred representations make the loss landscape more favorable with
improved Lipschitzness, which accelerates and stabilizes training
substantially. The improvement largely attributes to the fact that the
principal component of gradient is suppressed in the pretrained parameters,
thus stabilizing the magnitude of gradient in back-propagation. 3) The
feasibility of transferability is related to the similarity of both input and
label. And a surprising discovery is that the feasibility is also impacted by
the training stages in that the transferability first increases during
training, and then declines. We further provide a theoretical analysis to
verify our observations."
32,"While the conditional sequence modeling with the transformer architecture has
demonstrated its effectiveness in dealing with offline reinforcement learning
(RL) tasks, it is struggle to handle out-of-distribution states and actions.
Existing work attempts to address this issue by data augmentation with the
learned policy or adding extra constraints with the value-based RL algorithm.
However, these studies still fail to overcome the following challenges: (1)
insufficiently utilizing the historical temporal information among inter-steps,
(2) overlooking the local intrastep relationships among return-to-gos (RTGs),
states, and actions, (3) overfitting suboptimal trajectories with noisy labels.
To address these challenges, we propose Decision Mamba (DM), a novel
multi-grained state space model (SSM) with a self-evolving policy learning
strategy. DM explicitly models the historical hidden state to extract the
temporal information by using the mamba architecture. To capture the
relationship among RTG-state-action triplets, a fine-grained SSM module is
designed and integrated into the original coarse-grained SSM in mamba,
resulting in a novel mamba architecture tailored for offline RL. Finally, to
mitigate the overfitting issue on noisy trajectories, a self-evolving policy is
proposed by using progressive regularization. The policy evolves by using its
own past knowledge to refine the suboptimal actions, thus enhancing its
robustness on noisy demonstrations. Extensive experiments on various tasks show
that DM outperforms other baselines substantially."
33,"This paper explores using a Long short-term memory (LSTM) based sequence
autoencoder to learn interesting features for detecting surveillance aircraft
using ADS-B flight data. An aircraft periodically broadcasts ADS-B (Automatic
Dependent Surveillance - Broadcast) data to ground receivers. The ability of
LSTM networks to model varying length time series data and remember
dependencies that span across events makes it an ideal candidate for
implementing a sequence autoencoder for ADS-B data because of its possible
variable length time series, irregular sampling and dependencies that span
across events."
34,"Successful analytics solutions that provide valuable insights often hinge on
the connection of various data sources. While it is often feasible to generate
larger data pools within organizations, the application of analytics within
(inter-organizational) business networks is still severely constrained. As data
is distributed across several legal units, potentially even across countries,
the fear of disclosing sensitive information as well as the sheer volume of the
data that would need to be exchanged are key inhibitors for the creation of
effective system-wide solutions -- all while still reaching superior prediction
performance. In this work, we propose a meta machine learning method that deals
with these obstacles to enable comprehensive analyses within a business
network. We follow a design science research approach and evaluate our method
with respect to feasibility and performance in an industrial use case. First,
we show that it is feasible to perform network-wide analyses that preserve data
confidentiality as well as limit data transfer volume. Second, we demonstrate
that our method outperforms a conventional isolated analysis and even gets
close to a (hypothetical) scenario where all data could be shared within the
network. Thus, we provide a fundamental contribution for making business
networks more effective, as we remove a key obstacle to tap the huge potential
of learning from data that is scattered throughout the network."
35,"Using neural networks in practical settings would benefit from the ability of
the networks to learn new tasks throughout their lifetimes without forgetting
the previous tasks. This ability is limited in the current deep neural networks
by a problem called catastrophic forgetting, where training on new tasks tends
to severely degrade performance on previous tasks. One way to lessen the impact
of the forgetting problem is to constrain parameters that are important to
previous tasks to stay close to the optimal parameters. Recently, multiple
competitive approaches for computing the importance of the parameters with
respect to the previous tasks have been presented. In this paper, we propose a
learning to optimize algorithm for mitigating catastrophic forgetting. Instead
of trying to formulate a new constraint function ourselves, we propose to train
another neural network to predict parameter update steps that respect the
importance of parameters to the previous tasks. In the proposed meta-training
scheme, the update predictor is trained to minimize loss on a combination of
current and past tasks. We show experimentally that the proposed approach works
in the continual learning setting."
36,"Classic algorithms and machine learning systems like neural networks are both
abundant in everyday life. While classic computer science algorithms are
suitable for precise execution of exactly defined tasks such as finding the
shortest path in a large graph, neural networks allow learning from data to
predict the most likely answer in more complex tasks such as image
classification, which cannot be reduced to an exact algorithm. To get the best
of both worlds, this thesis explores combining both concepts leading to more
robust, better performing, more interpretable, more computationally efficient,
and more data efficient architectures. The thesis formalizes the idea of
algorithmic supervision, which allows a neural network to learn from or in
conjunction with an algorithm. When integrating an algorithm into a neural
architecture, it is important that the algorithm is differentiable such that
the architecture can be trained end-to-end and gradients can be propagated back
through the algorithm in a meaningful way. To make algorithms differentiable,
this thesis proposes a general method for continuously relaxing algorithms by
perturbing variables and approximating the expectation value in closed form,
i.e., without sampling. In addition, this thesis proposes differentiable
algorithms, such as differentiable sorting networks, differentiable renderers,
and differentiable logic gate networks. Finally, this thesis presents
alternative training strategies for learning with algorithms."
37,"We consider the problem of representing collective behavior of large
populations and predicting the evolution of a population distribution over a
discrete state space. A discrete time mean field game (MFG) is motivated as an
interpretable model founded on game theory for understanding the aggregate
effect of individual actions and predicting the temporal evolution of
population distributions. We achieve a synthesis of MFG and Markov decision
processes (MDP) by showing that a special MFG is reducible to an MDP. This
enables us to broaden the scope of mean field game theory and infer MFG models
of large real-world systems via deep inverse reinforcement learning. Our method
learns both the reward function and forward dynamics of an MFG from real data,
and we report the first empirical test of a mean field game model of a
real-world social media population."
