id,text
10,"While I can't think of any Corvettes with side mounted backup lights,
I know that Saab started using them about 15 years ago.  My 1975 Saab 99
didn't have them, but a friend's 1978 Saab 99 certainly did.  In addition
to the confentional tail-light mounted backup lights, they had another
set integrated into the front turn signal assembly.  For those of you who
don't remember, Saabs of that vintage had an enormous multicoloured plastic
growth, about the size of a _National Geographic_ magazine, sticking out
of the front fender, which incorporated amber ""parking lights"", amber side
marker lights/reflectors, white ""cornering lamps"" (like American luxury
cars) aimed towards the side of the road when you have your turn indicators
on, and white ""backup lights"" aimed towards the back of the car when you
have selected reverse gear.  The glossy brochure showed how these front
mounted backup lights were useful for illuminating hazards (pot holes, kid's
toys, etc) that would be run over by the front of the car if you had the
wheels turned while backing up."
11,"Hi, I was looking for some helpful advice.
I'm a university student with about $7000 to spend, and I'm looking for a 
used car. Does anyone have any useful advice they could offer to a first-
time buyer? I'm not looking for anything sporty, just something functional 
and reliable (less maintenance costs). Anybody have any ideas on what models 
might suit me?

Thanks"
12,"think again!!  thanks to 60 minutes (tick tick tick), used 200
quattros are bargains.. '89s go for about $15K, '90s go for perhaps 1
or 2K more, the 20 valve 91's are quite a bit more because of an
enormous hp and torque gain.. i think they go for about $23 to $25K if
you can find one.  i have seen quite a lot of '89-'90 200 quattros (not
that many wagons though) at the dealer lot.. they use very high
quality paint and the entire car is zinc galvanized, so it will never
rust.

in short, typically a 4 yr old 200 looks no more older than a 1 year
old and the 5 bangers are bullet proof engines.  200K out of one is
not rare, even for a turbo, which is watercooled for the 200s.  then
there are aftermarket chips that you can buy to bump up turbo boost...

if you are into luxo-gizmos.. the cars are loaded with just about
everything too..

the price of parts is a different story though..."
13,"Their number is 1-800-541-4716
	they are based in Chicago, IL in case
	you need to call dir assistance.

	Their prices are more down to earth than
	ANY other source for car innards/outers.

	They will send you a free catalog."
14,"^^^^^^^^^^
I have a 92 Wrangler Sahara and paid $14.1 new (including the rebate).

                          ^^^^^^^^^^^^^^^^^^
After driving a CJ-5 for 6 years, that fancy stuff is pretty nice.

          ^^^^^^^^^^^
I like my Wrangler, but when doing some serious off roading, it can't
keep up with a CJ-5 because of ground clearance and limited suspension
travel.  I do have a winch and would like to get an ARB air-locker in the
future.


I love the 4.0."
15,"Thanks to everyone who responded to my Honda Accord break question.
It does seem that the master cylinder is bad. I will have my
mechanic double check and be sure it isn't something simpler
and cheaper first, but from your responses it sounds like it
is very likely to be the master cylinder.

Thanks everyone!!"
16,"The Chevrolet brothers were respected racers & test drivers for the
Buick Co. when Durant was there.

When the directors kicked Durant out of GM in 1910 he took Chevrolet and
others with him.  As mentioned before, they founded the successful
Chevrolet company.

A little-known fact is that the Chevrolet Co. actually took over GM!
That was how Durant got back in charge of GM-- legally his new company
Chevrolet Co. did the buying, and GM was a division of Chevrolet!

After 1920 and into the Sloan era, GM shuffled things so that the GM
board was superior, but there was always a degree of autonomy given
the Chevy division, presumably because of the initial structure.
(If you look at the organization chart for GM in Sloan's book, Chevy
division reports directly to 14th floor, not through the ""passenger
car division"" which covers Buick, Olds, Cadillac, and Oakland/Pontiac)"
17,"Could be due to the rear-end ratio also.  

Usually automatics have different rear-ends than manuals, from
my limited experience anyways.

David"
18,"Yes, however, with the top off and the rear window down this car is more 
like a convertible than a coupe.  Think of it as a convertible with an 
integrated roll-bar like addition."
19,"We are working on gas-solid adsorption air-con system for auto applications.
In this kind of system, the energy for regenerating the adsorbent is from 
the exhaust gas.  Anyone interested in this mail email me or follow up this
thread, we may have a discussion on prospects of this technology.

Max"
20,"Dear Netters:

I am looking to buy a used Eagle Talon '91 or '91 TSi AWD.
Question is that the '91 TSi AWD was mentioned in the
April Consumer Reports to a car to avoid!

In particular, the manual transmission, electrical system,
and brakes were below par (in both models).  A friend of mine
ownes a '90 TSi AWD and he has had 2 brake jobs (pads), one
stuck valve, and some clutch/transmission problem, something
about sticking/grinding into second gear.  This doesn't seem
too bad if one ""beats"" on his car.

I am willing to suffer reliability--for speed and looks.  Seems
you have to pay big buck if you want all three.  Anyway can
anyone please let me know how you like your Talon, and any
problems you may have had, and if the repairs are worth it.

Thanks for any responses!"
21,"I have just taken delivery on a new GM car (Firebird) with a 
clearcoat finish.  I assume that it is probably urethane since the 
industry has moved in that direction in paints.
 
In years past, it used to be recommended that owners wait up to 
60 days before you wax a car, for the paint to ""cure.""  The dealer 
shop manager said this also, but I'm not sure that he wasn't just 
basing it on past tradition.  Does anyone know if this is still a 
recommended practice, or is it better to go ahead and wax right 
away (non-abrasive new car wax) with the newer finishes?"
22,"xIn article <1qgi8eINNhs5@skeena.ucs.ubc.ca> yiklam@unixg.ubc.ca (Yik Chong Lam)
x>Hello,
x>
x>       Does anyone know how to take out the bolt under the engine
x>compartment?  Should I turn clockwise or counter?  I tried any kind
x>of lubricants, WD-40,etc, but I still failed!
x>       Do you think I can use a electric drill( change to a suitable
x>bit ) to turn it out?  If I can succeed, can I re-tighten it not too
x>tight, is it safe without oil leak?
x
xAssuming you don't have a Russian car with opposite threads, then
xyou turn counterclockwise. I would get some professional
xhelp here, you may not have located the draing plug and
xactually be trying to loosen something else.
x
xCraig
x>
x>
x>Thank you very much in advance------  Winson
x>
 This reminds me of the first time my cousin did an oil change on his
car. He crawled under, removed a bolt, drained the fluid, replaced the
bolt, then carefully poured in 5 quarts of oil. Didn't bother to
check the dip stick, just drove off. Didn't get too far till me found
out that he'd drained the 4-speed trans and dumped an extra 5 quarts
into the engine.:( MORAL: As Craig said don't be ashamed to get some
*in person* help the first time.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Mack Costello <mcostell@oasys.dt.navy.mil> Code 65.1 (formerly 1720.1)
David Taylor Model Basin, Carderock Division Hq. NSWC    ___/-\____
Bethesda, MD 20084-5000   Phone (301) 227-2431          (__________>|"
23,"I saw an interesting product in NY Auto Show, and would like to 
hear your comments.

MILITECH(tm) is yet another oil additive. But the demonstration of this
product really impressive, if it didn't cheat.

The setup of the demo is fairly simple. A cone shaped rotor is
half submerged in a small oil sink, filled with motor oil. The rotor
is powered by an electronic motor. A metal pad is pressed against
the rotor using the torque wrench until the rotor stopped by friction. 
The torque that is needed to stop rotor is read from the torque wrench.

Before MILITECH was added, the rotor was stopped with about 60 lb-ft
of torque (You pick the brand of oil, no difference). Once MILITECH was 
added to the oil, the rotor could not be stopped even with 120+ lb-ft of
torque. 

Here is the good part: even after the salesman emptied the oil sink, 
you still could not stopped the rotor with the thin film remained  on it.

They say you need only add 2oz per quart of oil every 15k miles. A 16 oz
bottle is $25.

I still have my doubts. If this product is really so great, why it was
so little known? The salesman said it is widely used in military. I didn't
believe it.  The demo was so impressive, that I bought a bottle against
my common sense.

Has anyone heard of or actually used this product? Is it real?
If you are going to the auto show, please visit this stand on the 
second floor. See if can find out if the demo is a hoax or not."
24,"The VW ""Thing"" Kubelwagen lookalike is still manufactured in Mexico and 
possibly South America.  Good luck importing one--  They probably don't meet 
US safety and pollution requirements.  There are mechanics and junkyards 
which specialize in VW; they might be helpful for finding a ""Thing"" unless 
the WWII re-enacters have grabbed them all.

The WWII Kubelwagen was the German equivalent of the Jeep, but was not 4-
wheel drive.  One is on display at the Patton Museum at Fort Knox, Kentucky, 
also the rare ""Schwimwagen"" (sp?) amphibious version, in full-scale dioramas.
Highly recommended!

--"
25,"You get a mic with the C650 if you get it with the internal CD ROM drive.

Gary

--"
26,"Huh?  If I buy a 128M optical, I might lose my friends?  Why - do they
smell bad?

:-)



On a serious note, I have heard the tales about SyQuest failures.  But I
am curious about Jon's comments on cartridge wear for the the Bernoullis.
Can someone elaborate?  Is there a general consensus that the 128M opticals
are the most reliable?  I am mostly concerned about media failures, as
opposed to drive mechanism failures."
27,"Of course its possible, I get 1024x768 on my Centris 650. All you need is
a correctly wired video cable.

Gary

--"
28,"With a little luck, I could own a C650 sometime in the near future, and
so I was just wondering if someone could clear these two questions up for me:

1.  What speed SIMMS does the C650 need/want?  (I know that it needs 80ns
VRAM...not sure for the main RAM.)

2.  I've heard two conflicting stories about the total expandibility of the
C650's RAM...132 and 136 megs.  Which is true?  (Perhaps another phrasing
would be better:  does the 8 meg version come with all 8 megs on the logic
board, or 4 megs + a 4 meg SIMM?)

Just wondering...."
29,"I can't even hear the fan on my 650.....gee I wonder if its working.....yup,
just checked, its exhausting air out the back just fine.

Gary

--"
30,"The DayStar PowerCache for the SE/30 replaces the CPU with an accelerated
CPU plus the powercache.  This leavese the PDS slot open for a video card.
Currenty, DayStar does not have the '040 in this configuration, but it is
due out early next year.  With their upgrade policy, you can get the '030
accelerator now, and when the '040 version becomes available, you get
credit
for the one you have.  

I am running their 50 MHz version with FPU along with a Radius Precision
Color Pivot and I'm very satisfied.

-------------------------------------------------------------------------

Earl D. Fife          |          Department of Mathematics
fife@calvin.edu       |          Calvin College
(616)957-6403         |          Grand Rapids, MI 49546"
31,"Regarding the post for information about the Mac Portable and the 
Powerbook 100, here are a couple of the answers:
(1) Does the Mac Portable support Appletalk? Yes
(2) What CPU is in the Mac Portable? A low power version of the 68000 
running at 15.87 Mhz.
(3) Does the Mac Portable run system 7? Yes, although it does use up a 
lot of memory.
(4) Is memory still availabe for the Portable? There are several vendors 
that still make RAM for the Portable. There are two options: Some vendors 
sell memory that plugs into the RAM Slot inside the portable. Others sell 
memory that plugs into the Processor Direct Slot. Either way, the most 
memory you can address is either 8 or 9 megabytes, depending on whether 
the Portable is Backlit or not. King Memory and Peripherials in Irvine 
California is the cheapest place I know of for Portable memory. 2MB - 
$140, 4 MB, $250, and 7 MB $415. I still see several ads in macuser that 
are selling 4 MB modules for $450. Wide variety in pricing here.
(5) What is the internal HD? Its a Conner CP-3045 40 MB HD with an 
average access time of about 25 ms.
(6) Is the screen better that the PB 100? Heavens yes! The PB 100 is a 
backlit PASSIVE matrix screen which means it fades out on you if you move 
your head a few degrees left or right. The Portable has a backlit or 
non-backlit ACTIVE Matrix screen which I think is a joy to read.

Other things to consider - Where to get the portable and how much to pay 
for it? A good supplier has been SelectTerm in Mass. They were willing to 
sell a 2MB Non-backlit Portable with an internal 2400 bps modem for about 
$650. Or a 4 MB Backlit Portable with an internal 2400 bps modem for 
about $900. 

The answer is call around for a good while or you'll pay too much.

I'm still looking for an internal FAX modem for the portable? Anybody got 
one they want to sell? -- Good Luck, Gene Wright"
32,"A SIMM is a small PCB with DRAM chips soldered on.

--maarten"
33,"I too am interested in peoples' experience with accelerators for the
SE.  Is an accelerator the best route to improve performace in my SE, or should
I consider upgrading to an SE/30 motherboard?  Obviously, buying a new mac 
would be ideal, but alas, I only have enough money for an accelerator or
motherboard.
	E-mail reply preferred.  Thanks."
34,"After reading reports from Germany of success in accelerating a Quadra
or Centris simply by changing the clock oscillator, I decided to test the
claim. I pulled out my Variable Speed Overdrive and the motherboard's
50 mhz clock chip. I put a socket in the clock's place and inserted a
64 mhz TTL clock oscillator I had left over from working on some SI's.
I can't believe it. It actually works. I'm not getting SCSI timing errors
either. This is only after a short run time but I'll keep posting results.
Did I spend all that money on the VSO for nothing? If this keeps working,
the lack of a double boot in itself will be worth the effort."
35,"Hi folks,

	what exactly is the maximum memory I can put in
a Quadra 700. My manual says 20MB (with 4 x 4MB SIMMs), 
but MacWarehouse and the like advertise 16MB SIMMs to
give it a total of 68MB. Who's wrong? Has anybody got
68MB?


Thanks,


	Chris"
36,": Is there a fix for this? We have a Quadra 900 that will NOT finish startup
: unless there is a monitor connected. This would be no problem, but since
: we're running it as a file server, there is no need to have a monitor
: connected all the time.

I've seen a control panel made for this. I don't remember the name, where I
saw it, or on what Quadra models it will work. But I do know it exists :)

/Mats"
37,"Some kind soul told me that I could change the serial port buffer size
of Zterm via ResEdit. He did not tell me HOW I could change it using
ResEdit, and I have lost his e-mail address.

Could he or any one else please tell me what to do?

I assume that the relevant resource is zSet, but I do not know, and
I have no template for that resource. If you have a TMPL for the correct
resource, I would be grateful to receive it. That way, I could play around
a bit and maybe get my Duo to do something useful with its serial port.
(other than Appletalk).

BTW, I believe that when the port stats says that maximum in buffer is
3074 bytes, that that means increasing the buffer will help, if you are
using hardware handshaking. I can cram text data pretty fast into my Duo,
and can monitor that CTS is being lowered, but the buffer never gets beyond
3074 (out of 4096) bytes. Makes sense to me."
38,Don't believe the hype. There is no such thing as a PowerPC slot.
39,"I tried the right set and it didn't work.  I'm on the phone to their
tech support right now and the guys doesn't know what a desktop
rebuild is!!!  He's got me holding for someone else...............
And holding, and holding, and holding."
40,"Does anyone know how to reach Micron?  I am interested in getting some
specifics about what types of monitors work with their Micron Xceed
card for the se/30.  either e-mail or phone number would be prefered.
Or if you have the answers to my questions, i'd appreciate a reply.

Thanks.



-- 
----------------------------------------------------------------
julia hsieh              My opinions are not intended to reflect
hsieh@ipld01.hac.com     those of Hughes Aircraft Company."
41,"I am having trouble with SCSI on a Mac IIfx. The machine is 3 years old
and I have been using the same hard drive (internal Maxtor LXT-200S) for
two and a half years. The disk recently crashed. I reformatted (Silverlining
5.42), but during the reformat I received random write errors during testing.
The error message reported was like:

Sector 0: Write error detected after testing good - sector not mapped out.

This occurred randomly all over the hard disk (which makes me suspect the
diagnostic's reference to Sector 0 ??? ). On the third reformat and after
reinstalling the SCSI read/write loops I was able to get through passes
2,3, and 4 with no errors. (Pass 1 for some reason reported a lot of errors,
but still mapped out no sectors.) I decided to go ahead and try to resinstall
System 7 and reload my data from a backup. This proceded normally; however,
I now have sub-optimal performance. Symptoms include:

   o Frequent crashes
   o Instances of extremely sluggish disk access requiring a reboot to
       correct.
   o Instances of not finding the disk on the SCSI chain on reboot.
       - If I boot from Norton Utl. after this occurs, it cannot find the
         disk either.
       - The only thing that fixes this is recycling the power. It sometimes
         requires several attempts.

QUESTIONS:

   1) Has anyone had this type of problem before?
   2) Is the problem with the fx motherboard (And its non-standard
      SCSI implementation) or with my Maxtor Disk? Is there some
      diagnostic software that would help me make this determination?
   3) Is it a termination problem? I currently have external Syquest
      and an external DataFrame XP60 on the chain. The XP60 is at the
      end, and has internal termination; so I am not using the IIfx
      terminator. I do have the SCSI filter installed on the internal
      drive. I have run with this exact steup for 2 1/2 years with
      one previous disk crash requiring a reformat (about a year ago).
      I also have symptoms if I disconnect the external devices;
      so I don't see how SCSI termination would now be an issue. Of
      course who knows :-<

Help would be much appreciated."
42,"In the May issue of C't Magazine was an article about upgrading 040 models
of apple. They simply change crystals and add a fan.
Hammerhead: Centris 610 was able to work with 25 MHz (cooler prefered)
            and for 1000 DM you get an 68040 (33MHz) which works with the
            appropriate crystal at full speed. (extra cooling required)    
            Centris 650 like Quadra 700 with extra cooling 33MHz works on
            most machines and for real power enthusiasts they used a
            Quadra 950 at 40 MHz wow! But for better description you should
            get this issue of C't (a german PC magazine!) 

Christian Bauer"
43,"The Partition button in Apple's HD Setup lets you set up A/UX and other
types of partitions. It WON'T let you create more than one normal mac
volume. You need SilverLining or something similar to do that. It WILL,
however, allow you to take advantage of some possible unused space on your
hard disk, if you don't mind reformatting the whole thing."
44,"We have a user that has Word 5.0 and is using symbols such as pi and
other mathematic sysmbols, plus doing fractions, etc.

The document shows up on the screen with no problems, looks fine.

When she tries to print it on a IIg the pi changes to an upside down
caret, and several other symbols change to double quotes at bottom of
character, plus some little circles appear between words of the fractions
instead of spaces.

This happens on a IIg laser printer.  Tried it on serveral macs and two
different IIg's.

Prints fine on an NT and NTX laser printers.

What's wrong???

Thanks for any help in advance,

Gary

-- 

***************************************************************************

Gary Weis
University Computer Center
400 Hal Greer Boulevard
Huntington, West Virginia  25755-5320

Phone:  (304) 696-3205
Fax  :  (304) 696-3601

Internet:  Gary@marshall.wvnet.edu
Bitnet  :  Gary@marshall
UCC Net :  Gary"
45,"I had the same problem with my 512 a long time ago.  Resoldering
the joints on the motherboard (all of them) fixed it.  Turns out
that continuous heating and cooling caused annular (ring-shaped)
cracks to develop in the solder, effectively cutting the video
circuitry off.  If you're not a solder-jockey you might want to
have someone else do it -- I took mine to an electrical engineer
buddy -- but it was a 20-minute job, tops.

-Kelley-
-- 
-----------------------------------------------------------------
Thomas Kelley Boylan, PowerPC, IBM Austin, kelleyb@austin.ibm.com"
46,"Mysstem crashes aftwer sleepp.  I use 1.0.1 enabler. I use appletalk and 
filesharing. I have and ExpressModem.

--Lowell"
47,"I have two questions:

1) What would be required to create a Macintosh PC network
   including laser printers, line printers, etc.?"
48,"Please could someone in the US give me the current street 
prices on the following, with and without any relevant taxes:

 8 Mb 72 pin SIMM
16 Mb 72 pin SIMM (both for Mac LC III)

Are any tax refunds possible if they are to be exported
to the UK? Can you recommend a reliable supplier?"
49,"I believe that in order to get at the innards of the new mouse,
you must remove the label on the bottom that says ""Apple Desktop
Bus Mouse II""  There you should find two screws on either side.
I haven't tried it myself yet, but when I ran my fingernail
accross the label, these two divots appeared, and I can only assume
that these are the elusive screws in question.

cheers,
john"
50,"Another source:  There's a poly blitter for mode y (mode x in 320x200)
at sunee.uwaterloo.ca.  Also there is REND386, an even faster 3D
renderer with VR extensions.


--------------------------------------------------------------------------"
51,"-> According to the TIFF 5.0 Specification, the TIFF ""version number""
-> (bytes 2-3) 42 has been chosen for its ""deep philosophical 
-> significance"".

-> Last week, I read the Hitchhikers Guide To The Galaxy, and rotfl the
-> second time. (After millions of years of calculation, the second-best
-> computer of all time reveals that 42 is the answer to the question
-> about life, the universe and everything)

-> Is this actually how they picked the number 42?


-> Does anyone have any  other suggestions where the 42 came from?

   At this moment the King, who had been for some time busily writing in
his note-book, called out ""Silence!"" and read out from his book
""Rule Forty-two. All persons more than a mile high to leave the court.""
   Everybody looked at Alice.
   ""I'm not a mile high,"" said Alice.
   ""You are,"" said the King.
   ""Nearly two miles high,"" added the queen.
   ""Well, I sha'n't go, at any rate,"" said Alice; ""besides, that's not
a regular rule: you invented it just now.""
   ""It's the oldest rule in the book,"" said the King.
   ""Then it ought to be Number One,"" said Alice."
52,"For better worse, the source on this on is Michael Barnsley. His article
in The Science of Fractal Images (Peitgen et al) is a fair-to-middling
intro. Barnsley's book Fractals Everywhere is a more thorough treatment.
The book covers Iterated Function Systems in general, and their application
to image compression is clear from the text."
53,"Are  complex  bio-medical  images  available  anywhere on the net for 
experimentation?  By complex I mean that every sampled data point has 
a magnitude and phase information both."
54,"Maybe I should point out that we are not talking about c.s.amiga.*.
Only comp.graphics."
55,"You'll probably have to set the palette up before you try drawing
in the new colours.

Use the bios interrupt calls to set the r g & b values (in the range
from 0-63 for most cards) for a particular palette colour (in the
range from 0-255 for 256 colour modes).

Then you should be able to draw pixels in those palette values and
the result should be ok.

You might have to do a bit of colourmap compressing if you have
more than 256 unique rgb triplets, for a 256 colour mode."
56,"Does anyone out there have or know of, any kind of utility program for

Ribbons?


Ribbons are a popular representation for 2D shape.  I am trying to
find symmetry axis in a given any 2D shape using ribbons.


Any suggestions will be greatly appreciated how to start program. 


Thanks very much in advance,
Hoi"
57,"Yesterday I wrote a program to do bilinear interpolation ala Numerical
Recipes, with the PBMPLUS libraries.  I'm pretty happy with the results,
but I'm looking for any already-coded non-linear interpolation schemes
before I go ahead an try to write one.  Any pointers?

--"
58,"What are the main advantages of this method?  I have seen it described, and
the algiorithm seems a  little bit long.  I developed my own method, which
requires that the points be in a counter-clockwise order, and returns
whether you are looking at the back or the front, similar to the plane eqn
method.  It uses few calculations however, basically it is several
comparisons.  The only disadvantage I see is that it must be done after the
transformation from view coordinates to coordinates to display on the
screen, which means that a little more calculation isneeded beforehand.  My
method basically figures out whether the points that will appear on the
screen are clockwise or counterclockwise.  When looking at the back of
something, the points occur in an opposite direction from the front, so
merely by figuring out which way the points go, you can tell whether you are
looking at the back or front of a 2d polygon.  Has anyone heard of this
method before?  It is so simple, I doubt i am the first to think of it.

Libertarian, atheist, semi-anarchal Techno-Rat."
59,"I'm currently looking for information about different graphics
formats, especially PPM, PCX BMP and perhaps GIF.
Does anyone know if there exist any files at some site
that describes these formats ???

Thanks !"
60,"Hi Steve,

As the author of Multiverse, I feel I had better respond to your
mailnote questioning whether anyone had managed to compile this
software - the quick answer is yes! The long answer is yes - but a
few have had a few problems with their platforms - not all unix's are
the same, you know! As far as ""many bugs"" go, it would probably be more
useful to everyone (including you) if you were a bit more explicit! :-)

Platforms it has succesfully compiled and run on are: RS6000, Dec Ultrix
Sun Solaris so it is possible.

The main problem is that I don't have access to other platforms than the
RS6000, so if there are portability problems then the only way I hear
about them is by people letting me know and giving me a clue as to
how to fix it.

As far as the software not doing anything, do you really think I would
bother releasing it, if that was the case? Perhaps you didn't read the
few docs that ARE supplied. The dogfight world is made up of clients
only, so if you're in there on your own, then you're not going to see
anything! The dactyl world has quite a lot of scenary - so if you don't
see anything there, then this is definitely a problem!

One final word - if you're not interested, don't bother with it.
If you are interested, then please remember that I'm not asking for
any money! So why not try a little patience and constructive criticism,
maybe that will get results??"
61,"Yes, that's known as ""Bresenhams Run Length Slice Algorithm for
Incremental lines"". See Fundamental Algorithms for Computer Graphics,
Springer-Verlag, Berlin Heidelberg 1985.


	Hmm. I don't think I can help you with this, but you might
take a look at the following:

	""Double-Step Incremental Generation of Lines and Circles"",
X. Wu and J. G. Rokne, Computer Graphics and Image processing,
Vol 37, No. 4, Mar. 1987, pp. 331-334

	""Double-Step Generation of Ellipses"", X. Wu and J. G. Rokne,
IEEE Computer Graphics & Applications, May 1989, pp. 56-69"
62,": |> 
: |>         Is there any way to connect two pointing devices to one serial
: |>         port? I haven't tried this but I believe they would interfere
: |>         with each other (?) even if only one at a time would be used.

: 	Just get an A-B switch for RS232. Look in Computer Shopper.
: They are available fairly cheap. They allow switching between two
: serial devices on a single port.

Unfortunately the poster wants to use an internal and an external modem so a
switch isn't going to help them.  If you aren't using your com ports for
anything else, just define them on different com ports.  Define your internal
modem to be say, com1, and your external modem to be com3.  You really
shouldn't have to worry about interrupt conflicts since you won't be using
both modems at the same time :)."
63,"By '8 grey level images' you mean 8 items of 1bit images?
It does work(!), but it doesn't work if you have more than 1bit
in your screen and if the screen intensity is non-linear.

With 2 bit per pixel; there could be 1*c_1 + 4*c_2 timing,
this gives 16 levels, but they are linear if screen intensity is
linear.
With 1*c_1 + 2*c_2 it works, but we have to find the best
compinations -- there's 10 levels, but 16 choises; best 10 must be
chosen. Different compinations for the same level, varies a bit, but
the levels keeps their order.

Readers should verify what I wrote... :-)"
